# Gene Family	dlab_reads_ALL_Abundance-CPM	mcav_reads_ALL_Abundance-CPM	ofav_reads_ALL_Abundance-CPM	pstr_reads_ALL_Abundance-CPM
1.1.1.271-RXN: (expasy) GDP-L-fucose synthase [1.1.1.271]|unclassified	0.1872249	1.22693	0.0	0.0445724
1.1.1.272-RXN: (expasy) D-2-hydroxyacid dehydrogenase (NADP(+)) [1.1.1.272]	0.0807411	0.0	0.0	0.0
1.1.1.272-RXN: (expasy) D-2-hydroxyacid dehydrogenase (NADP(+)) [1.1.1.272]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0807411	0.0	0.0	0.0
1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]	0.0643202	0.0	0.0	0.0
1.1.1.292-RXN: (expasy) 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) [1.1.1.292]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0643202	0.0	0.0	0.0
1.1.1.39-RXN: (expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38]	0.0252105	0.0545325	0.0	0.0
1.1.1.39-RXN: (expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38]|g__Alteromonas.s__Alteromonas_macleodii	0.0	0.0545325	0.0	0.0
1.1.1.39-RXN: (expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) [1.1.1.38]|g__Cutibacterium.s__Cutibacterium_acnes	0.0252105	0.0	0.0	0.0
1.1.1.8-RXN: (expasy) Glycerol-3-phosphate dehydrogenase (NAD(+)) [1.1.1.8]	0.0763312	0.0	0.0	0.0
1.1.1.8-RXN: (expasy) Glycerol-3-phosphate dehydrogenase (NAD(+)) [1.1.1.8]|unclassified	0.0763312	0.0	0.0	0.0
1.1.99.28-RXN: (expasy) Glucose-fructose oxidoreductase [1.1.99.28]	0.1243353	0.0	0.0	0.0
1.1.99.28-RXN: (expasy) Glucose-fructose oxidoreductase [1.1.99.28]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.1243353	0.0	0.0	0.0
1.10.2.2-RXN: (expasy) Quinol--cytochrome-c reductase [7.1.1.8]	0.36368259999999997	0.0	0.0	0.0
1.10.2.2-RXN: (expasy) Quinol--cytochrome-c reductase [7.1.1.8]|unclassified	0.36368259999999997	0.0	0.0	0.0
1.12.1.3-RXN: (expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3]	0.060617	0.0	0.0	0.0
1.12.1.3-RXN: (expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.034187	0.0	0.0	0.0
1.12.1.3-RXN: (expasy) Hydrogen dehydrogenase (NADP(+)) [1.12.1.3]|unclassified	0.02643	0.0	0.0	0.0
1.13.11.15-RXN: (expasy) 3,4-dihydroxyphenylacetate 2,3-dioxygenase [1.13.11.15]	0.0963141	0.0	0.0	0.0616048
1.13.11.15-RXN: (expasy) 3,4-dihydroxyphenylacetate 2,3-dioxygenase [1.13.11.15]|unclassified	0.0963141	0.0	0.0	0.0616048
1.13.11.6-RXN: (expasy) 3-hydroxyanthranilate 3,4-dioxygenase [1.13.11.6]	0.17775330000000003	0.108472	0.0	0.0
1.13.11.6-RXN: (expasy) 3-hydroxyanthranilate 3,4-dioxygenase [1.13.11.6]|unclassified	0.17775330000000003	0.108472	0.0	0.0
1.14.12.1-RXN: (expasy) Anthranilate 1,2-dioxygenase (deaminating, decarboxylating) [1.14.12.1]	0.721009	0.0	0.0	0.0
1.14.12.1-RXN: (expasy) Anthranilate 1,2-dioxygenase (deaminating, decarboxylating) [1.14.12.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0622033	0.0	0.0	0.0
1.14.12.1-RXN: (expasy) Anthranilate 1,2-dioxygenase (deaminating, decarboxylating) [1.14.12.1]|unclassified	0.6588056999999999	0.0	0.0	0.0
1.14.13.8-RXN: (expasy) Flavin-containing monooxygenase [1.14.13.8]	0.074052	0.0	0.0	0.0
1.14.13.8-RXN: (expasy) Flavin-containing monooxygenase [1.14.13.8]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.074052	0.0	0.0	0.0
1.14.13.92-RXN: (expasy) Phenylacetone monooxygenase [1.14.13.92]	0.0322649	0.0	0.0	0.0
1.14.13.92-RXN: (expasy) Phenylacetone monooxygenase [1.14.13.92]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0322649	0.0	0.0	0.0
1.14.19.1-RXN: (expasy) Stearoyl-CoA 9-desaturase [1.14.19.1]	0.0	0.334982	0.0	0.0
1.14.19.1-RXN: (expasy) Stearoyl-CoA 9-desaturase [1.14.19.1]|unclassified	0.0	0.334982	0.0	0.0
1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]	0.0380195	0.0	0.0	0.0
1.17.4.2-RXN: (expasy) Ribonucleoside-triphosphate reductase (thioredoxin) [1.17.4.2]|unclassified	0.0380195	0.0	0.0	0.0
1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]	0.6296218100000001	2.4282202	0.0	0.2486194
1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]|g__Alteromonas.s__Alteromonas_macleodii	0.0418163	0.0	0.0	0.0
1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0486672	0.0	0.0	0.0915753
1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0856206	0.0	0.0	0.157044
1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.1665865	0.0	0.0	0.0
1.18.1.2-RXN: (expasy) Ferredoxin--NADP(+) reductase [1.18.1.2]|unclassified	0.28693121	2.4282202	0.0	0.0
1.2.1.13-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating) [1.2.1.13]	0.0544617	0.203922	0.0	0.0
1.2.1.13-RXN: (expasy) Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating) [1.2.1.13]|unclassified	0.0544617	0.203922	0.0	0.0
1.2.1.2-RXN: (expasy) Formate dehydrogenase [1.17.1.9]	0.0	0.193637	0.0	0.0
1.2.1.2-RXN: (expasy) Formate dehydrogenase [1.17.1.9]|unclassified	0.0	0.193637	0.0	0.0
1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]	0.28494130000000006	0.23760299999999998	0.0	0.261259
1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0339163	0.046776	0.0	0.0708176
1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.101857	0.0154882	0.0	0.14119
1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]|g__Erythrobacter.s__Erythrobacter_flavus	0.0	0.0416814	0.0	0.0
1.2.1.27-RXN: (expasy) Methylmalonate-semialdehyde dehydrogenase (CoA acylating) [1.2.1.27]|unclassified	0.1491673	0.13365739999999998	0.0	0.049252
1.2.1.45-RXN: (expasy) 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [1.1.1.312]	0.395374	0.0	0.0	0.0
1.2.1.45-RXN: (expasy) 2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase [1.1.1.312]|unclassified	0.395374	0.0	0.0	0.0
1.2.1.58-RXN: (expasy) Phenylglyoxylate dehydrogenase (acylating) [1.2.1.58]	0.0686841	0.0	0.0	0.0
1.2.1.58-RXN: (expasy) Phenylglyoxylate dehydrogenase (acylating) [1.2.1.58]|unclassified	0.0686841	0.0	0.0	0.0
1.2.1.66-RXN: (expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306]	0.023812	0.0	0.0	0.0
1.2.1.66-RXN: (expasy) S-(hydroxymethyl)mycothiol dehydrogenase [1.1.1.306]|g__Cutibacterium.s__Cutibacterium_acnes	0.023812	0.0	0.0	0.0
1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]	0.1589434	0.6427221000000001	0.0	0.0
1.2.4.4-RXN: (expasy) 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) [1.2.4.4]|unclassified	0.1589434	0.6427221000000001	0.0	0.0
1.2.7.4-RXN: (expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4]	0.149838	0.162234	0.0	0.0
1.2.7.4-RXN: (expasy) Anaerobic carbon-monoxide dehydrogenase [1.2.7.4]|unclassified	0.149838	0.162234	0.0	0.0
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]	1.4555744000000002	0.0629028	0.0	0.550489
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0378787	0.0189992	0.0	0.067594
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.1738362	0.0439036	0.0	0.48289499999999996
1.2.7.8-RXN: (expasy) Indolepyruvate ferredoxin oxidoreductase [1.2.7.8]|unclassified	1.2438593999999998	0.0	0.0	0.0
1.20.98.1-RXN: (expasy) Arsenate reductase (azurin) [1.20.9.1]	3.1161544	0.28332100000000005	0.0	0.0
1.20.98.1-RXN: (expasy) Arsenate reductase (azurin) [1.20.9.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.1545684	0.0	0.0	0.0
1.20.98.1-RXN: (expasy) Arsenate reductase (azurin) [1.20.9.1]|unclassified	2.9615859999999996	0.28332100000000005	0.0	0.0
1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3]	0.0197501	0.0	0.0	0.0
1.21.4.3-RXN: (expasy) Sarcosine reductase [1.21.4.3]|unclassified	0.0197501	0.0	0.0	0.0
1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4]	0.0197501	0.0	0.0	0.0
1.21.4.4-RXN: (expasy) Betaine reductase [1.21.4.4]|unclassified	0.0197501	0.0	0.0	0.0
1.3.1.2-RXN: (expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2]	0.330147	0.0	0.0	0.0
1.3.1.2-RXN: (expasy) Dihydropyrimidine dehydrogenase (NADP(+)) [1.3.1.2]|unclassified	0.330147	0.0	0.0	0.0
1.3.1.25-RXN: (expasy) 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase [1.3.1.25]	0.0	0.0	0.0	0.0709022
1.3.1.25-RXN: (expasy) 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase [1.3.1.25]|unclassified	0.0	0.0	0.0	0.0709022
1.3.1.54-RXN: (expasy) Precorrin-6A reductase [1.3.1.54]	0.0326896	0.0	0.0	0.0
1.3.1.54-RXN: (expasy) Precorrin-6A reductase [1.3.1.54]|g__Prochlorococcus.s__Prochlorococcus_marinus	0.0326896	0.0	0.0	0.0
1.3.7.2-RXN: (expasy) 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [1.3.7.2]	0.0	1.82804	0.0	0.0
1.3.7.2-RXN: (expasy) 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [1.3.7.2]|unclassified	0.0	1.82804	0.0	0.0
1.3.7.3-RXN: (expasy) Phycoerythrobilin:ferredoxin oxidoreductase [1.3.7.3]	0.0	0.190341	0.0	0.0
1.3.7.3-RXN: (expasy) Phycoerythrobilin:ferredoxin oxidoreductase [1.3.7.3]|unclassified	0.0	0.190341	0.0	0.0
1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5]	0.0467873	0.270234	0.0	0.0
1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5]|g__Prochlorococcus.s__Prochlorococcus_marinus	0.0467873	0.0	0.0	0.0
1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5]|unclassified	0.0	0.270234	0.0	0.0
1.3.99.16-RXN: (expasy) Isoquinoline 1-oxidoreductase [1.3.99.16]	0.1023543	0.33097	0.0	0.0
1.3.99.16-RXN: (expasy) Isoquinoline 1-oxidoreductase [1.3.99.16]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0170362	0.0	0.0	0.0
1.3.99.16-RXN: (expasy) Isoquinoline 1-oxidoreductase [1.3.99.16]|unclassified	0.0853181	0.33097	0.0	0.0
1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21]	0.168574	0.104899	0.0815276	0.185144
1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.012059	0.0	0.0	0.0143076
1.4.1.21-RXN: (expasy) Aspartate dehydrogenase [1.4.1.21]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.156515	0.104899	0.0815276	0.170836
1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]	0.1084032	0.0	0.0	0.0
1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]|g__Cutibacterium.s__Cutibacterium_acnes	0.0293298	0.0	0.0	0.0
1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0548446	0.0	0.0	0.0
1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]|unclassified	0.0242288	0.0	0.0	0.0
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]	0.46730150000000004	2.2339474	0.207827	0.30108429999999997
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]|g__Alteromonas.s__Alteromonas_macleodii	0.0362192	0.0	0.0	0.0
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.0101503	0.0186814	0.0	0.0368284
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0662639	0.128092	0.0	0.221868
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0628483	0.0	0.0	0.0
1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]|unclassified	0.29181989999999997	2.0871744	0.207827	0.0423883
1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]	0.0437254	0.0	0.0	0.0
1.5.1.34-RXN: (expasy) 6,7-dihydropteridine reductase [1.5.1.34]|unclassified	0.0437254	0.0	0.0	0.0
1.5.5.1-RXN-YEAST: (expasy) Electron-transferring-flavoprotein dehydrogenase [1.5.5.1]	0.09210979999999999	0.0	0.0	0.0
1.5.5.1-RXN-YEAST: (expasy) Electron-transferring-flavoprotein dehydrogenase [1.5.5.1]|g__Alteromonas.s__Alteromonas_macleodii	0.0322066	0.0	0.0	0.0
1.5.5.1-RXN-YEAST: (expasy) Electron-transferring-flavoprotein dehydrogenase [1.5.5.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0599032	0.0	0.0	0.0
1.5.8.2-RXN: (expasy) Trimethylamine dehydrogenase [1.5.8.2]	0.6228494	0.0	0.0	0.1032736
1.5.8.2-RXN: (expasy) Trimethylamine dehydrogenase [1.5.8.2]|unclassified	0.6228494	0.0	0.0	0.1032736
1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8]	0.1094565	0.0481747	0.0	0.0
1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8]|g__Alteromonas.s__Alteromonas_macleodii	0.0	0.0481747	0.0	0.0
1.6.4.4-RXN: (expasy) Protein-disulfide reductase [1.8.1.8]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.1094565	0.0	0.0	0.0
1.7.2.2-RXN: (expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2]	0.1073579	0.0674879	0.239219	0.0
1.7.2.2-RXN: (expasy) Nitrite reductase (cytochrome; ammonia-forming) [1.7.2.2]|unclassified	0.1073579	0.0674879	0.239219	0.0
1.7.2.3-RXN: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3]	2.19826	0.0	0.0	0.0323821
1.7.2.3-RXN: (expasy) Trimethylamine-N-oxide reductase [1.7.2.3]|unclassified	2.19826	0.0	0.0	0.0323821
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]	3.7723586300000003	5.699954199999999	0.0	0.9246524999999999
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]|g__Alteromonas.s__Alteromonas_macleodii	0.0507994	0.0	0.0	0.0
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.02362947	0.0	0.0	0.12049090000000001
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.231566	0.0	0.0	0.430247
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]|g__Pseudoalteromonas.s__Pseudoalteromonas_shioyasakiensis	0.017918	0.0	0.0	0.0
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.10941000000000001	0.0	0.0	0.0
1.8.1.4-RXN: (expasy) Dihydrolipoyl dehydrogenase [1.8.1.4]|unclassified	3.3390362300000005	5.699954199999999	0.0	0.3739135
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]	0.55912668	0.8726042	0.0	0.2357677
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]|g__Alteromonas.s__Alteromonas_macleodii	0.0578751	0.0	0.0	0.0
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.122539	0.0	0.0	0.10705
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.0536406	0.0	0.0	0.081566
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.104039	0.0	0.0	0.0
1.8.4.12-RXN: (expasy) Peptide-methionine (R)-S-oxide reductase [1.8.4.12]|unclassified	0.22103358000000004	0.8726042	0.0	0.0471517
1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8]	0.16308070000000002	0.45167340000000006	0.0	0.0
1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8]|g__Erythrobacter.s__Erythrobacter_sp_SAORIC_644	0.0	0.0694735	0.0	0.0
1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0803017	0.0	0.0	0.0
1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8]|unclassified	0.082779	0.38219990000000004	0.0	0.0
1.8.98.1-RXN: (expasy) Dihydromethanophenazine:CoB--CoM heterodisulfide reductase [1.8.98.1]	0.0	0.666355	0.0	0.0
1.8.98.1-RXN: (expasy) Dihydromethanophenazine:CoB--CoM heterodisulfide reductase [1.8.98.1]|unclassified	0.0	0.666355	0.0	0.0
1.8.98.2-RXN: (expasy) Sulfiredoxin [1.8.98.2]	0.0	0.117734	0.0	0.0
1.8.98.2-RXN: (expasy) Sulfiredoxin [1.8.98.2]|unclassified	0.0	0.117734	0.0	0.0
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]	2.0936169499999995	1.2326469	0.18128999999999998	0.788978
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]|g__Bradyrhizobium.s__Bradyrhizobium_elkanii	0.1252629	0.0674743	0.0	0.125431
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]|g__Bradyrhizobium.s__Bradyrhizobium_sp_MOS004	0.1250019	0.0229746	0.0	0.15608650000000002
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.049387	0.0	0.0	0.0
1TRANSKETO-RXN: (expasy) Transketolase [2.2.1.1]|unclassified	1.7939655499999998	1.142198	0.18128999999999998	0.5074609
2-CHLOROBENZOATE-12-DIOXYGENASE-RXN: (expasy) 2-halobenzoate 1,2-dioxygenase [1.14.12.13]	0.0311418	0.0	0.0	0.0
2-CHLOROBENZOATE-12-DIOXYGENASE-RXN: (expasy) 2-halobenzoate 1,2-dioxygenase [1.14.12.13]|g__Pseudovibrio.s__Pseudovibrio_denitrificans	0.0311418	0.0	0.0	0.0
2-DEHYDROPANTOATE-REDUCT-RXN: (expasy) 2-dehydropantoate 2-reductase [1.1.1.169]	0.5606899999999999	0.18534489999999998	0.0	1.1812960000000001
