"","Pathway","OFAV_032024","OFAV_012025","MCAV_032024","MCAV_012025","DLAB_032024","DLAB_012025","PSTR_032024","PSTR_012025"
"107","GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0,0,29.927928749,0,19.639939161,46.0284827,35.44982441,0
"109","GLUDEG-I-PWY: GABA shunt",0,0,0,0,36.0478282,7.397391801,0,4.075747122
"111","GLUTORN-PWY: L-ornithine biosynthesis I",5.772511467,12.215350584,158.08197329,23.870151677,720.010132915,696.929809664,46.05414792,132.793676737
"115","GLYCOCAT-PWY: glycogen degradation I",0,0,0,0,28.39170957,0,0,0
"117","GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",0,0,197.94188282,26.210255758,32.612640537,66.992056456,35.1317095,6.901022131
"120","GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway",0,0,58.8419614,0,43.96098199,101.95776255,0,25.14369988
"122","GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",0,0,167.250771579,23.28027763,84.03569871,338.26501301,10.86465153,65.78819906
"124","GLYOXYLATE-BYPASS: glyoxylate cycle",7.357496156,17.677570342,133.068764927,66.968214176,658.636383198,865.21933525,70.606669682,215.873327276
"128","HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)",0,20.517615193,216.95622872,31.427154377,174.097880941,478.925219375,29.30534458,79.74628443
"131","HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)",0,20.517615193,216.95622872,31.427154377,174.097880941,478.925219375,29.30534458,79.74628443
"135","HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)",0,0,109.77581496,6.438725861,39.376332321,123.154363437,11.9516338,35.96930581
"138","HISDEG-PWY: L-histidine degradation I",16.83619221,0,71.233862912,22.7800029,67.887766666,163.15862778,23.531503124,31.55374447
"143","HISTSYN-PWY: L-histidine biosynthesis",0,6.828327734,80.192556598,13.62985066,471.48564693,671.33981679,23.461561834,132.7505348
"146","HOMOSER-METSYN-PWY: L-methionine biosynthesis I",0,0,20.34818404,0,0,98.51936959,0,41.95007032
"148","HSERMETANA-PWY: L-methionine biosynthesis III",21.433651504,24.645615984,107.011572911,21.033339005,115.61518361,334.90950387,55.200606228,182.70955555
"152","ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",12.48059852,52.385111448,390.457676109,97.821716961,1645.361369861,1652.638332522,89.63982717,295.55723773
"156","LEU-DEG2-PWY: L-leucine degradation I",0,0,0,0,13.69669662,27.16700443,0,9.420985693
"158","MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis",0,0,31.61100253,0,0,121.30243952,0,53.33968476
"160","METHGLYUT-PWY: superpathway of methylglyoxal degradation",0,0,0,0,0,9.069679799,0,0
"162","METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation",0,0,0,0,0,20.086142095,0,22.9095289
"164","METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis",0,0,28.7777744,0,0,114.97047069,0,51.53940032
"166","NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)",0,0,17.54636635,0,0,55.248537681,0,22.106610942
"169","NONMEVIPP-PWY: methylerythritol phosphate pathway I",0,0,120.28418934,20.27422976,92.976043705,219.23103087,0,64.88160933
"172","NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I",0,12.598433417,159.748237354,48.588944214,813.184607121,1121.317583455,47.82074106,224.592293985
"177","OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)",0,0,46.27188025,9.164627502,72.6218164,118.837317595,0,55.597079217
"179","P101-PWY: ectoine biosynthesis",0,0,0,0,0,0,0,4.358257131
"181","P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)",0,0,73.36396628,33.742747273,342.3584171,521.62751699,51.841356641,100.466623343
"183","P108-PWY: pyruvate fermentation to propanoate I",0,0,22.75628302,0,0,74.63253391,0,23.84046756
"185","P122-PWY: heterolactic fermentation",0,0,0,0,8.628075927,17.088177,0,0
"187","P124-PWY: Bifidobacterium shunt",0,0,18.33087709,21.758552,40.99288373,21.96047137,0,0
"189","P161-PWY: acetylene degradation (anaerobic)",0,0,24.69696941,0,33.37669762,65.070834321,0,55.807535753
"191","P184-PWY: protocatechuate degradation I (meta-cleavage pathway)",0,0,0,0,0,10.074248,0,25.53305793
"193","P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)",0,0,16.35545358,0,30.67741187,13.8041829,0,0
"195","P221-PWY: octane oxidation",0,0,13.35468929,0,12.28206738,45.10471934,29.25731271,0
"198","P23-PWY: reductive TCA cycle I",0,0,0,0,0,86.73082959,0,0
"200","P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",0,0,0,0,0,52.53300995,0,57.93551092
"202","P41-PWY: pyruvate fermentation to acetate and (S)-lactate I",0,0,15.99005093,0,36.757656389,35.870482756,0,12.70746236
"204","P42-PWY: incomplete reductive TCA cycle",0,0,0,0,0,80.61569708,0,0
"206","P621-PWY: nylon-6 oligomer degradation",0,0,0,0,21.63377486,0,0,0
"208","PANTO-PWY: phosphopantothenate biosynthesis I",4.641911961,0,39.7469998,25.418482012,162.17169478,336.39298883,44.066652572,102.553718013
"212","PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)",0,0,34.43724848,21.52608575,84.64357672,269.539523,33.770842136,42.41110003
"215","PENTOSE-P-PWY: pentose phosphate pathway",0,5.080235758,127.08687435,30.982893943,422.26893447,403.84696398,15.12860651,94.78616427
"217","PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0,0,145.57096492,33.942901753,90.66021354,295.86457875,26.61828753,72.36404381
"221","PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",0,0,13.44389036,7.471294469,48.38388403,56.20381912,0,14.18310949
"223","PHOTOALL-PWY: oxygenic photosynthesis",0,8.767060603,69.500094477,21.85984251,233.89840288,406.874681803,0,31.21485459
"225","POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",0,0,0,0,0,0,0,9.958555703
"227","POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",2.385162904,0,200.56355072,31.32600074,53.91099424,118.72205474,0,38.99722739
"229","PPGPPMET-PWY: ppGpp metabolism",0,12.10881645,139.45923364,27.4552601,48.77448488,176.70308516,0,8.748203698
"231","PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)",0,0,0,0,0,0,30.83256989,0
"233","PWY-101: photosynthesis light reactions",5.743718198,22.73916564,96.170580213,57.814368178,574.635564407,670.035997901,47.769573485,206.27722271
"235","PWY-1042: glycolysis IV",0,14.192372049,282.44567704,97.271606098,208.075428668,458.858784012,33.24401498,107.77397222
"238","PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis",0,0,14.97417388,0,23.270486672,134.896103535,6.710937984,37.48993628
"241","PWY-1361: benzoyl-CoA degradation I (aerobic)",0,0,0,0,0,0,29.88275178,0
"243","PWY-1622: formaldehyde assimilation I (serine pathway)",0,0,0,0,0,19.36960906,0,0
"245","PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)",0,0,0,0,13.95394022,19.19701945,0,28.9115409
"247","PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)",0,0,0,0,0,26.08906583,0,0
"249","PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",0,0,26.192911339,22.551011713,53.76712566,332.91798993,23.50976139,114.080934222
"252","PWY-2941: L-lysine biosynthesis II",0,0,57.77977889,0,25.76386923,99.38935421,0,0
"254","PWY-3001: superpathway of L-isoleucine biosynthesis I",0,8.761602626,215.19785968,15.57191934,224.72222597,425.64256527,41.05665542,118.240493705
"256","PWY-3661: glycine betaine degradation I",0,0,0,0,0,31.63010688,0,0
"258","PWY-3781: aerobic respiration I (cytochrome c)",0,0,18.66139001,0,649.13635076,545.685010842,68.21640969,105.474337559
"261","PWY-3841: folate transformations II (plants)",26.39315207,28.74445176,123.70734357,80.792351819,881.89569587,1108.30818895,88.465922795,262.803895723
"265","PWY-4041: &gamma;-glutamyl cycle",0,0,0,0,0,0,0,13.29251072
"268","PWY-4702: phytate degradation I",0,0,0,0,0,9.190276608,0,0
"270","PWY-4722: creatinine degradation II",0,0,0,0,0,10.47000803,0,0
"272","PWY-4984: urea cycle",0,0,57.869156954,28.061139675,50.39195724,43.571189973,26.12667537,53.91022518
"275","PWY-5004: superpathway of L-citrulline metabolism",0,0,0,0,0,0,0,13.56016024
"277","PWY-5005: biotin biosynthesis II",0,0,0,0,0,14.977349922,0,0
"279","PWY-5028: L-histidine degradation II",0,0,22.2852492,0,43.6771146,128.22770868,0,0
"282","PWY-5097: L-lysine biosynthesis VI",0,0,161.293543739,24.15645728,203.771449802,370.784423215,38.076091025,80.10774839
"285","PWY-5100: pyruvate fermentation to acetate and lactate II",0,0,0,5.504179607,22.639323279,93.366342308,0,12.70746236
"287","PWY-5103: L-isoleucine biosynthesis III",11.65263136,46.095209553,356.327966467,82.949519246,1472.45468056,1498.988020787,74.14476479,258.439272745
"291","PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)",0,0,135.45999145,23.20005435,59.439299848,130.37652,0,54.034966136
"293","PWY-5130: 2-oxobutanoate degradation I",0,0,0,0,11.34863756,60.412512172,0,0
"295","PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)",17.53075246,0,136.692311441,13.693710111,145.45492792,175.825084229,74.06916427,129.62520984
"299","PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)",0,0,78.38203703,16.930818375,19.206181755,0,29.50600136,74.31464738
"302","PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",0,0,39.85335143,0,207.621819843,295.335830818,39.23374824,79.34108026
"305","PWY-5180: toluene degradation I (aerobic) (via o-cresol)",0,0,0,0,0,0,0,37.63159716
"307","PWY-5188: tetrapyrrole biosynthesis I (from glutamate)",0,0,106.792545509,20.47896008,60.828447731,337.36003447,13.55071924,49.835167973
"310","PWY-5189: tetrapyrrole biosynthesis II (from glycine)",0,6.127182356,36.736993812,4.819277108,140.972097293,303.22445953,27.05881027,90.238197532
"313","PWY-5209: methyl-coenzyme M oxidation to CO2",0,6.652271196,0,0,10.6322337,57.601908201,0,0
"315","PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)",0,0,39.11865797,0,37.37146884,231.077642923,31.38736586,93.63900254
"318","PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)",0,0,30.7435545,0,0,126.54290277,0,55.53707972
"320","PWY-5384: sucrose degradation IV (sucrose phosphorylase)",0,0,38.40382597,0,30.249792557,60.35704512,4.965226376,12.43031406
"322","PWY-5392: reductive TCA cycle II",0,0,0,0,0,8.345129031,0,0
"324","PWY-5415: catechol degradation I (meta-cleavage pathway)",0,0,0,0,8.241435312,83.71278947,0,45.551298807
"326","PWY-5417: catechol degradation III (ortho-cleavage pathway)",0,0,0,0,9.270316457,0,13.99473589,0
"328","PWY-5419: catechol degradation to 2-hydroxypentadienoate II",0,0,0,0,0,0,0,7.38390733
"330","PWY-5420: catechol degradation II (meta-cleavage pathway)",0,0,0,0,0,0,0,11.58671046
"332","PWY-5431: aromatic compounds degradation via &beta;-ketoadipate",0,0,0,0,9.270316457,0,13.99473589,0
"334","PWY-5484: glycolysis II (from fructose 6-phosphate)",0,0,139.4563134,17.406889,70.3904787,293.40621639,13.10675189,57.015510911
"336","PWY-5505: L-glutamate and L-glutamine biosynthesis",0,0,0,0,54.72182469,190.06608436,21.93018451,61.61392289
"338","PWY-5531: 3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)",0,0,0,0,19.2811023,0,0,0
"340","PWY-561: superpathway of glyoxylate cycle and fatty acid degradation",0,0,86.632831596,0,225.80401946,220.385172167,54.09452821,70.775251551
"342","PWY-5647: 2-nitrobenzoate degradation I",0,0,0,0,0,0,0,19.70965819
"344","PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate",0,0,0,0,0,0,0,19.06881695
"346","PWY-5659: GDP-mannose biosynthesis",0,0,144.23420641,27.591431388,204.86884966,183.950681128,0,37.353442956
"349","PWY-5667: CDP-diacylglycerol biosynthesis I",0,0,157.12471859,18.004687109,51.228204759,97.52893297,0,32.7711674
"352","PWY-5675: nitrate reduction V (assimilatory)",0,0,60.632180534,25.025833362,104.95272967,102.996493249,41.373457478,20.48172238
"354","PWY-5676: acetyl-CoA fermentation to butanoate II",0,0,12.58498433,0,22.33490918,50.083842015,0,37.354966589
"356","PWY-5686: UMP biosynthesis I",7.528110914,0,344.41096726,65.896488888,530.69883942,619.65619014,44.799953205,114.157159817
"359","PWY-5690: TCA cycle II (plants and fungi)",0,0,0,0,0,0,11.3820222,29.3596917
"361","PWY-5695: inosine 5'-phosphate degradation",0,5.656096862,118.096280445,66.182101472,103.28795126,153.93200036,40.147963391,84.79144065
"364","PWY-5723: Rubisco shunt",0,0,94.9335708,25.51951044,161.2596967,418.11644707,27.99844797,34.20729421
"367","PWY-5747: 2-methylcitrate cycle II",0,0,0,0,21.39944151,40.195142434,0,45.889055467
"370","PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)",0,0,11.95822586,0,6.092821672,97.513097257,0,3.902378525
"372","PWY-5913: partial TCA cycle (obligate autotrophs)",0,10.618304734,54.5195269,33.53481058,79.82098072,495.28602875,29.86326297,75.408819374
"374","PWY-5918: superpathway of heme b biosynthesis from glutamate",0,0,0,0,6.292827123,49.35783476,0,14.13147665
"376","PWY-5920: superpathway of heme b biosynthesis from glycine",0,0,0,0,25.174630759,45.31377733,0,12.5940933
"378","PWY-5941: glycogen degradation II",0,0,88.73921072,0,41.197000787,33.659127031,27.61351285,12.38508136
"382","PWY-5973: cis-vaccenate biosynthesis",17.85784192,6.869913258,247.89223284,35.920129054,417.692321262,645.18962734,47.58563575,161.672189766
"386","PWY-5981: CDP-diacylglycerol biosynthesis III",0,0,148.01636328,0,34.12871716,83.47022209,7.139682017,22.54236765
"389","PWY-5989: stearate biosynthesis II (bacteria and plants)",0,12.446488936,83.642386867,29.059234817,500.70865812,758.848028389,46.84040567,176.675444863
"392","PWY-6084: 3,5-dichlorocatechol degradation",0,0,0,0,27.51115356,14.05816377,0,0
"394","PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",9.670139191,18.791152714,178.261852017,63.520229877,361.08984402,443.688306816,52.0678748,81.49281412
"398","PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",16.23287265,39.802980334,324.66244833,88.714039434,502.4308947,530.670629885,88.80442831,139.88363263
"403","PWY-6123: inosine-5'-phosphate biosynthesis I",12.713946654,16.248155392,159.345481774,56.860509533,478.20970665,714.082914966,79.67424295,140.575996701
"408","PWY-6124: inosine-5'-phosphate biosynthesis II",12.492191414,37.256363699,290.173912976,88.309132871,541.540746038,771.605763319,103.70712613,165.405925689
"413","PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",0,11.59619136,77.882646025,27.82384676,515.784063733,605.048566231,59.29607691,121.393712696
"416","PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",0,12.70951352,344.140310893,71.38028598,768.08335231,1148.09452532,32.8415509,152.887648208
"420","PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0,0,139.459144498,51.442453674,88.27950411,100.29535004,23.44552629,61.263854183
"424","PWY-6151: S-adenosyl-L-methionine salvage I",8.240492821,3.265019358,0,0,0,102.91310375,8.120433831,36.44757672
"427","PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0,0,106.258628495,21.572233835,149.71314865,412.99881766,37.448767354,127.335976455
"431","PWY-6182: superpathway of salicylate degradation",0,0,0,0,0,0,15.11344691,0
"432","PWY-6185: 4-methylcatechol degradation (ortho cleavage)",0,0,0,0,72.29614171,28.213513306,4.1078734,0
"434","PWY-6215: 4-chlorobenzoate degradation",0,0,0,0,12.23977255,0,0,11.81372291
"436","PWY-621: sucrose degradation III (sucrose invertase)",0,0,11.17205642,0,43.341874728,34.547146958,0,8.016636135
"438","PWY-6270: isoprene biosynthesis I",0,0,16.34795981,0,37.63492036,81.66031007,0,46.84480497
"440","PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",16.23287265,39.802980334,324.66244833,88.714039434,502.4308947,530.670629885,88.80442831,139.88363263
"445","PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",21.81440454,13.215180713,144.06440138,42.664665894,640.48534485,861.580613835,58.86704779,187.063490431
"448","PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)",9.195592544,4.196317356,62.29372404,32.156326461,388.38341595,504.143650682,23.690440503,64.32865019
"450","PWY-6293: superpathway of L-cysteine biosynthesis (fungi)",4.26645596,0,45.26470055,11.25997484,36.014223312,91.43417796,7.153346454,0
"452","PWY-6305: superpathway of putrescine biosynthesis",0,0,45.34574546,17.83936493,0,3.680761927,0,24.58340321
"454","PWY-6313: serotonin degradation",0,0,0,0,0,0,20.21834975,10.41505842
"457","PWY-6317: D-galactose degradation I (Leloir pathway)",0,0,0,0,9.576830887,17.650701761,0,0
"459","PWY-6353: purine nucleotides degradation II (aerobic)",0,0,75.67142468,13.15925416,41.94566011,70.45387474,30.801669193,34.20046139
"461","PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",0,0,169.9279126,35.07789905,86.52963384,286.60183544,26.02188778,74.89428302
"464","PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0,0,154.57937297,37.14918556,56.94077203,330.49340088,23.47444157,67.08676377
"467","PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0,0,177.66775074,54.60534744,102.44384451,319.42463814,28.37209334,73.44529901
"471","PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)",0,0,0,0,12.06992871,0,0,0
"473","PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation",0,0,11.12592268,0,23.82758907,23.76247141,0,8.242107034
"475","PWY-6519: 8-amino-7-oxononanoate biosynthesis I",0,0,0,0,85.53144337,38.25734322,0,13.09654352
"477","PWY-6527: stachyose degradation",0,0,0,0,11.85250347,0,0,0
"479","PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III",0,7.27055824,40.198552503,3.292197981,51.56498234,292.92754113,7.154013882,24.06977826
"481","PWY-6549: L-glutamine biosynthesis III",0,0,48.384039349,0,112.17933605,409.10077468,38.344433884,48.06120952
"483","PWY-6588: pyruvate fermentation to acetone",0,0,0,0,13.33165238,0,0,0
"485","PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation",0,0,0,0,0,17.33719477,0,0
"487","PWY-6595: superpathway of guanosine nucleotides degradation (plants)",0,0,4.540052779,0,13.38046241,0,0,0
"489","PWY-6606: guanosine nucleotides degradation II",0,0,54.502767719,22.43175693,32.10553217,60.29489099,0,0
"491","PWY-6607: guanosine nucleotides degradation I",0,0,52.141923562,22.43175693,14.02866056,0,0,0
"493","PWY-6608: guanosine nucleotides degradation III",0,0,89.136915296,47.918820565,62.81983084,78.15635546,27.287305918,31.47282115
"495","PWY-6609: adenine and adenosine salvage III",0,0,91.281737669,45.531746816,66.786256542,96.692268177,33.893650784,47.662927336
"498","PWY-6628: superpathway of L-phenylalanine biosynthesis",0,0,77.42877937,16.69030444,40.67606922,74.503384326,0,54.77309857
"500","PWY-6629: superpathway of L-tryptophan biosynthesis",0,0,105.38226509,21.32393136,202.08260219,408.35154924,0,103.69655349
"502","PWY-6630: superpathway of L-tyrosine biosynthesis",0,0,0,0,41.11349473,73.717325098,0,56.66561398
"504","PWY-6641: superpathway of sulfolactate degradation",0,0,34.50822922,0,258.62216181,261.88101383,4.168784565,54.259362188
"506","PWY-6700: queuosine biosynthesis I (de novo)",8.201486682,14.679456056,209.53932262,68.78076813,352.81451624,492.15256428,55.479933077,173.30052571
"510","PWY-6703: preQ0 biosynthesis",0,14.868944058,208.689033491,77.97119447,80.489971014,170.544063998,39.049916319,81.610350871
"514","PWY-6749: CMP-legionaminate biosynthesis I",0,0,20.44735742,0,0,4.398882278,0,0
"516","PWY-6823: molybdopterin biosynthesis",0,0,194.02975682,27.692250511,666.97603918,826.705917032,27.116982583,110.020780054
"521","PWY-6859: all-trans-farnesol biosynthesis",1.866440079,3.709508303,186.801842076,25.85875075,43.82943705,71.37970061,0,28.65757757
"523","PWY-6876: isopropanol biosynthesis (engineered)",0,0,0,0,0,9.740028404,0,0
"525","PWY-6892: thiazole component of thiamine diphosphate biosynthesis I",9.436950642,5.548802922,40.489694781,18.75156435,27.711341017,120.199562321,15.15233855,34.611848291
"527","PWY-6897: thiamine diphosphate salvage II",0,0,30.22631137,0,17.065216835,16.25063309,14.38070008,34.2973926
"529","PWY-6901: superpathway of glucose and xylose degradation",0,0,0,0,21.93224288,87.66524977,0,0
"531","PWY-6906: chitin derivatives degradation",0,0,0,0,5.929729283,0,0,0
"533","PWY-6922: L-N&delta;-acetylornithine biosynthesis",0,0,0,0,39.32572127,0,18.2265797,11.74658345
"536","PWY-6936: seleno-amino acid biosynthesis (plants)",0,0,23.20085036,10.552858095,0,290.37753197,30.80209716,112.47049908
"539","PWY-6969: TCA cycle V (2-oxoglutarate synthase)",0,7.305680279,98.46817705,29.53817393,448.66175506,613.57196907,73.63270118,110.675969708
"542","PWY-7013: (S)-propane-1,2-diol degradation",0,0,0,0,0,0,0,5.0628464
"544","PWY-702: L-methionine biosynthesis II",9.152123425,5.538456454,59.76404619,0,0,223.78886717,15.91219148,84.449853636
"546","PWY-7052: cyanophycin metabolism",0,0,65.96078655,6.613235193,0,0,0,0
"548","PWY-7072: hopanoid biosynthesis (bacteria)",0,0,0,0,8.185587306,7.037793104,5.765505046,21.611886129
"550","PWY-7094: fatty acid salvage",0,0,0,0,31.70433106,0,0,40.98716873
"553","PWY-7111: pyruvate fermentation to isobutanol (engineered)",10.35395517,0,354.249542836,94.764900357,906.50127154,1126.95571473,94.612201124,275.30202251
"557","PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",0,0,17.35986479,0,72.52228207,253.91264847,25.07368342,5.213984669
