Date_InitialTag,Transect,TransectNum,TagNum,Species,Meter,Meters_90,Direction,MaxDiameter_cm,MaxHeight_cm,Antibiotic_Treatment,Date_Documented_Probiotic_Sampling,Date_DocumentedDisease,Date_DocumentedMortality,Notes_032024,Notes_062024,032024_Condition,032024_Percentage,062024_Condition,062024_Percentage,092024_Condition,092024_Percentage,092024_Notes,012025_Condition,012025_Percentage,012025_Notes
3/2/24,NIRVANA,1,67,MCAV,13,9.7,R,34,47,,,Healthy,Healthy,,,Healthy,NA,,,,,,Healthy,,
3/2/24,NIRVANA,1,68,MCAV,1.4,2.8,L,20,10,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,69,MCAV,0,4.4,R,30,7,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,70,MCAV,0,0.5,R,62,21,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,16,OFAV,1.6,0.8,L,86,32,Y,,62024,Healthy,,early stage,Healthy,NA,Diseased,,,,,Healthy,,
3/2/24,NIRVANA,1,17,OFAV,15.8,1.28,L,85,39,,,62024,12025,,,Healthy,NA,Diseased,15%,,,,Dead,,
3/2/24,NIRVANA,1,18,OFAV,17.25,3.79,L,82,44,Y,,62024,Diseased,,,Healthy,NA,Diseased,30%,,,,Diseased,,
3/2/24,NIRVANA,1,19,OFAV,28.2,1.74,R,88,52,,,Healthy,Diseased,,,Healthy,NA,Healthy,NA,,,,Diseased,,
3/2/24,NIRVANA,1,20,OFAV,20.3,4.83,R,35,0.5,,,Healthy,Healthy,several patches of 1 colony,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,21,OFAV,11.2,6.9,L,44,18,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,22,OFAV,6.6,9.4,L,140,65,,,Healthy,Diseased,several patches of 1 colony,,Healthy,NA,Healthy,NA,,,,Diseased,,
3/2/24,NIRVANA,1,23,OFAV,35.2,5,L,153,73,,,62024,Diseased,"Recovering bleaching, paling",,CLP,i,Diseased,70%,,,,Diseased,,
3/2/24,NIRVANA,1,24,OFAV,3.1,9,L,32,25,Y,,Healthy,Diseased,,,Healthy,NA,Healthy,NA,,,,Diseased,,
3/2/24,NIRVANA,1,25,OFAV,8,11,L,156,69,,,62024,Healthy,,,Healthy,NA,Diseased,,,,,Not_found,,
3/2/24,NIRVANA,1,51,PSTR,20,0,L,210,5,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/2/24,NIRVANA,1,55,PSTR,1,0.5,R,15,6,,,Healthy,12025,,,Healthy,NA,Healthy,NA,,,,Dead,,
3/4/24,PUNTAPADI,2,26,DLAB,34.6,10.3,R,49,17,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,27,DLAB,38.8,2.8,L,16,15,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,89,DLAB,33.4,5.7,R,35,5,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,90,DLAB,35.6,8.2,R,26,10.5,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,91,DLAB,5.7,0.5,L,29,6,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,92,DLAB,23.2,2,L,12,7,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,93,DLAB,23.5,0,L,18,8,Y,,62024,Healthy,,,Healthy,NA,Diseased,5%,,,,Healthy,,
3/4/24,PUNTAPADI,2,38,MCAV,3,6.67,L,88,45,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Not_found,,No tag found
3/4/24,PUNTAPADI,2,39,MCAV,1.5,0,R,37,31,,,Healthy,Healthy,,,Healthy,NA,,,,,,CLP,100%,"No tag found, old mort"
3/4/24,PUNTAPADI,2,40,MCAV,3.2,0,L,43,20,,,3/4/24,Healthy,,,Diseased,15,Healthy,NA,,,,CLP,100%,Old mort
3/4/24,PUNTAPADI,2,41,MCAV,10.8,5.24,L,69,46,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,DC,5%,Old mort
3/4/24,PUNTAPADI,2,42,MCAV,13,4.9,L,34,17,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,43,MCAV,14.3,3.2,L,60,26,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,DC,10%,Old mort
3/4/24,PUNTAPADI,2,44,MCAV,19.6,5,L,70,38,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,45,MCAV,37.4,2.2,R,32,18,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,46,MCAV,32,3.9,R,67,32,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,47,MCAV,24.6,1.1,R,36,25,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,48,MCAV,24.8,2,R,50,38,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,50,OFAV,0,8.3,L,24,15,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,51,OFAV,8.4,2.2,L,51,23,Y,,Healthy,12025,,,Healthy,NA,Healthy,NA,,,,Dead,,
3/4/24,PUNTAPADI,2,52,OFAV,8.4,4.9,L,23,10,,,Healthy,12025,,,Healthy,NA,,,,,,Dead,,
3/4/24,PUNTAPADI,2,53,OFAV,23.9,1.45,L,24,9,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,CLP,50%,"Was upside down, paling from trauma"
3/4/24,PUNTAPADI,2,54,OFAV,22.3,3.6,L,27,2,,,Healthy,Diseased,3 separate colonies,,Healthy,NA,Healthy,NA,,,,Diseased,30%,
3/4/24,PUNTAPADI,2,55,OFAV,20.5,2.9,L,17,5,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,56,OFAV,4.1,5.5,R,45,21,,,Healthy,Healthy,5 separate colonies,pale,Healthy,NA,Healthy,NA,,,,Healthy,,
3/4/24,PUNTAPADI,2,57,OFAV,15.5,8.4,R,32,8,,,Healthy,Healthy,,,Healthy,NA,,,,,,Not_found,,
3/4/24,PUNTAPADI,2,58,OFAV,15.5,8.4,R,60,36,,,Healthy,Healthy,data sheet not filled out - might be next to 57,pale,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,33,CNAT,7.7,0.2,L,65,35,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,35,CNAT,16,1,L,32,5,,,Healthy,Healthy,,,CLP,90,,,,,,Healthy,,
3/5/24,ROCOSA,3,36,CNAT,33,6.6,L,35,20,,,62024,12025,,,CLP,100,Diseased,10%,,,,Dead,,
3/5/24,ROCOSA,3,27,DLAB,7.2,9.6,L,34,8,,,Healthy,Healthy,,,CLP,50,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,28,DLAB,13.8,17,L,27,7,,,Healthy,Healthy,,,CLP,40,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,29,DLAB,3,5.8,R,30,2,Y,,62024,Healthy,,,CLP,100,Diseased;CLP,,,,,Healthy,,
3/5/24,ROCOSA,3,30,DLAB,1,9.7,R,25,3,,,Healthy,12025,,,CLP,90,,,,,,Dead,,
3/5/24,ROCOSA,3,32,DLAB,3.5,0.5,R,10,3,,,Healthy,62024,,,CLP,50,Dead,,,,,Dead,,
3/5/24,ROCOSA,3,34,DLAB,37.2,4.8,R,13,6,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,15,MCAV,-3.8,2.7,L,37,23,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,16,MCAV,-4.8,5.3,L,62,96,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,91,MCAV,0,5,L,26,22,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,92,MCAV,2.6,4.3,L,25,15,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,93,MCAV,3.8,9,L,50,38,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,94,MCAV,3,10,L,53,52,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,95,MCAV,3.8,9.1,L,22,20,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,98,MCAV,43.8,11,L,53,25,,,62024,Healthy,,,CLP,10,Diseased,5%,,,,Healthy,,
3/5/24,ROCOSA,3,99,MCAV,1.2,4.6,L,31,19,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,100,MCAV,1.4,4.7,L,26,20,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/5/24,ROCOSA,3,58,OFAV,4.1,0.4,R,94,42,,,Healthy,Healthy,,,Healthy,NA,,,,,,Healthy,,
3/5/24,ROCOSA,3,59,OFAV,9.8,2.6,L,71,26,,,62024,Healthy,,,Healthy,NA,Diseased,50%,,,,Healthy,,
3/5/24,ROCOSA,3,60,OFAV,13.6,0,L,2.7,60,,,Healthy,Diseased,,,Healthy,NA,CLP,,,,,Diseased,,
3/5/24,ROCOSA,3,62,OFAV,12.4,4.1,L,123,60,,,Healthy,Healthy,,,Healthy,NA,,,,,,Not_found,,
3/5/24,ROCOSA,3,63,OFAV,12.35,4.1,L,65,50,,,62024,Healthy,,,Healthy,NA,Diseased,,,,,Healthy,,
3/5/24,ROCOSA,3,64,OFAV,13.7,8.3,R,92,40,,,62024,Healthy,,,Healthy,NA,Diseased;CLP,15%,,,,Healthy,,
3/5/24,ROCOSA,3,65,OFAV,16.2,4.3,R,170,54,,,Healthy,Healthy,,,Healthy,NA,,,,,,Not_found,,
3/5/24,ROCOSA,3,66,OFAV,36.5,1.38,L,193,70,,,3/5/24,Healthy,,,Diseased?,10,Healthy,,,,,Healthy,,
3/5/24,ROCOSA,3,67,OFAV,48.5,1.1,L,370,130,Y,,62024,Diseased,,,Healthy,NA,Diseased,70%,,,,Diseased,,
3/5/24,ROCOSA,3,68,OFAV,38.4,10.5,L,84,29,Y,,62024,Diseased,,,Healthy,NA,Diseased,,,,,Diseased,,
3/5/24,ROCOSA,3,31,PSTR,0,10,L,18,12,,,Healthy,62024,,,Healthy,NA,Dead,,,,,Dead,,
3/7/24,ELARBOL,5,81,DLAB,13,2,L,40,30,,3/7/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,83,DLAB,12.4,8,R,15,2,,3/7/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Not_found,,
3/7/24,ELARBOL,5,86,DLAB,28.5,4.4,R,36,27,Y,,Healthy,Healthy,,pale,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,87,DLAB,38.3,8,R,10,12,,3/7/24,Healthy,Healthy,,,CLP,90,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,88,DLAB,38.3,8,R,27,15,,,Healthy,Healthy,,pale,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,94,DLAB,47.8,5,L,19,10,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,99,DLAB,10.8,4.6,R,12,3,,3/7/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,100,DLAB,7.8,11.3,R,27,4,,,Healthy,Healthy,,pale,Healthy,NA,Healthy,NA,,,,Not_found,,
,ELARBOL,5,2,MCAV,0,4.1,L,38,33,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,3,MCAV,0,7.5,R,17,52,,3/7/24,Healthy,Healthy,,,Healthy,NA,,,,,,Healthy,,
3/7/24,ELARBOL,5,5,MCAV,12.1,7.7,R,25,20,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,6,MCAV,12.7,6.5,L,31,51,,3/7/24,Healthy,Healthy,,old mortality,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,7,MCAV,19.2,10.5,R,32,35,,3/7/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,8,MCAV,13.75,4.87,L,20,48,,,Healthy,Healthy,,old mortality,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,9,MCAV,0,7.5,R,34,21,,3/7/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,10,MCAV,8.75,6.08,R,16,17,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,13,MCAV,5.1,4.44,L,43,37,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,14,MCAV,30.2,0.6,L,60,49,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,19,OFAV,27,0.65,R,74,23,,,62024,Healthy,,early stage,Healthy,NA,Diseased,,,,,Not_found,,
3/7/24,ELARBOL,5,20,OFAV,35,13,R,36,16,,,Healthy,Healthy,,not found,Healthy,NA,,,,,,Not_found,,
3/7/24,ELARBOL,5,21,OFAV,13.6,10.1,R,70,37,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Not_found,,
3/7/24,ELARBOL,5,22,OFAV,18.5,10.1,R,107,37,,,Healthy,Healthy,,,CLP,20,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,23,OFAV,14.8,3.1,R,138,66,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,24,OFAV,15.7,0.7,L,175,72,,,62024,Healthy,near sctld,early stage,Healthy,NA,Diseased,,,,,CLP,30%,
3/7/24,ELARBOL,5,25,OFAV,28.9,0,L,282,110,,3/7/24,Healthy,62024,,,Healthy,NA,Dead,,,,,Dead,,
3/7/24,ELARBOL,5,28,OFAV,33.5,2,L,126,70,Y,,Healthy,Healthy,,not found,Healthy,NA,,,,,,Healthy,,
3/7/24,ELARBOL,5,29,OFAV,45.6,1.08,L,120,60,,3/7/24,Healthy,Healthy,,,CLP,40,Healthy,NA,,,,Not_found,,
3/7/24,ELARBOL,5,37,OFAV,48.5,9.2,L,70,32,Y,3/7/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,4,PSTR,21.5,7.9,R,76,30,,3/7/24,62024,12025,,,CLP,?,Diseased,20%,,,,Dead,,
3/7/24,ELARBOL,5,1,PSTR,0,6.4,L,23,23,,,Healthy,12025,,,Healthy,NA,,,,,,Dead,,
3/7/24,ELARBOL,5,11,PSTR,0,4.1,R,22,18,,,Healthy,Healthy,278˚W heading,not found,Healthy,NA,,,,,,CLP,5%,
3/7/24,ELARBOL,5,12,PSTR,43.9,6.95,R,29,20,,,Healthy,12025,,,CLP,?,Healthy,NA,,,,Dead,,
3/7/24,ELARBOL,5,58,PSTR,4.8,0.78,L,21,20,,,Healthy,Healthy,,not found,CLP,?,,,,,,Healthy,,
3/7/24,ELARBOL,5,59,PSTR,0,6.7,L,27,12,Y,,62024,Healthy,,,Healthy,NA,Diseased,15%,,,,Healthy,,
3/7/24,ELARBOL,5,62,PSTR,0,0.79,?,29,23,,,Healthy,Healthy,348˚ heading,,Healthy,NA,,,,,,Not_found,,
3/7/24,ELARBOL,5,82,PSTR,13,1.85,L,12,4,,3/7/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,84,PSTR,1.7,4,L,70,60,,3/7/24,62024,12025,brown spot,,Healthy,NA,Diseased,,,,,Dead,,
3/7/24,ELARBOL,5,85,PSTR,28,4.6,R,20,8,,3/7/24,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,96,PSTR,32.1,1.4,R,20,8,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
3/7/24,ELARBOL,5,97,PSTR,32.6,1.4,R,16,1,,,Healthy,Healthy,,,Healthy,NA,Healthy,NA,,,,Healthy,,
1/15/25,NIRVANA,1,71,DLAB,39.7,21.7,R,23,15,,,Healthy,Healthy,,,,,,,,,,Healthy,,
1/15/25,NIRVANA,1,72,MCAV,42.5,9.5,R,20,5,,,Healthy,Healthy,,,,,,,,,,Healthy,,
1/15/25,NIRVANA,1,73,DLAB,44.1,11.4,R,46,30,,,Healthy,Healthy,,,,,,,,,,Healthy,,
1/14/25,PUNTAPADI,2,1,OFAV,3.35,6.25,L,23,38,,,Healthy,Healthy,,,,,,,,,,CLP,40,
1/14/25,PUNTAPADI,2,2,OFAV,11.5,2,R,34,4,,,Healthy,Healthy,,,,,,,,,,Healthy,,
1/14/25,PUNTAPADI,2,3,OFAV,15.4,4.4,R,24,22,,,Healthy,Healthy,,,,,,,,,,Healthy,,
1/16/25,ROCOSA,3,17,OFAV,32.6,12.5,L,605,30,,,Healthy,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Healthy,,
